UUID,NAVID,Name,Program,Address,City,ZIP,lat,lon,Company
4e6491fc-6d74-a736-d0e3-9983d394f27a,CPP-C3001,Ambrose Community Center,CPP,3105 WILLOW PASS RD,BAY POINT,94565,38.026298,-121.949133,Marathon
a7a5651c-048c-d42d-a35f-9d022ec9b74d,CPP-C3028,Rio Vista Elementary,CPP,611 PACIFICA AVE,BAY POINT,94565,38.033401,-121.9739716,Marathon
d5df4b59-587e-7f02-d31d-2e9594a55904,F2K-C3002,Shore Acres Elementary,F2K,351 MARINA RD.,BAY POINT,94565,38.035073,-121.9704172,Marathon
8bd5e574-e86e-4324-4e0c-0c7f38c9111d,F2K-C3003,Rio Vista Elementary,F2K,611 PACIFICA AVE.,BAY POINT,94565,38.033401,-121.9739716,Marathon
1c5d397a-fdec-29e3-70e5-0e5ec0c41c7b,F2K-C3004,Riverview Middle,F2K,205 PACIFICA AVE.,BAY POINT,94565,38.033843,-121.966441,Marathon
84568a66-73d3-39db-095a-087b1f4328d9,F2K-C3005,Bel Air Elementary,F2K,663 CANAL ROAD,BAY POINT,94565,38.0203455,-121.9384227,Marathon
1831b6d9-97d2-2854-a4cf-c8520ef015e8,FAP-C3012,Ambrose Community Center,MPD,3105 WILLOW PASS RD.,BAY POINT,94565,38.026298,-121.949133,Marathon
008f9a71-e9a3-1223-b73c-086974244502,KNOW-C3002,Rio Vista Elementary,KNOW,611 PACIFICA AVE.,BAY POINT,94565,38.033401,-121.9739716,Marathon
8e03176e-e93b-069d-5fca-29f4d77b7dc7,KNOW-C3004,Bel Air Elementary,KNOW,663 CANAL RD.,BAY POINT,94565,38.0203455,-121.9384227,Marathon
e3054254-ea43-e754-da65-a2bb820baa78,KNOW-C3005,Shore Acres Elementary,KNOW,351 MARINA RD.,BAY POINT,94565,38.035073,-121.9704172,Marathon
9e5db86d-cae3-6e25-434a-f6883f036f29,KNOW-C3006,Riverview Middle,KNOW,205 PACIFICA AVE.,BAY POINT,94565,38.033843,-121.966441,Marathon
88f8b5be-b99b-9aad-1268-42073465b177,SCH-C3006,Shore Acres Elementary,SCH,351 MARINA RD.,BAY POINT,94565,38.035073,-121.9704172,Marathon
a4e47708-50a9-2c3d-b89c-0b4b8bd1e0eb,SFP-C3006,Bay Point - First AME,SFP,2915 WILLOW PASS RD.,BAY POINT,94565,38.0264462,-121.9464816,Marathon
142e8dce-0628-b536-10a6-a60a11f150a0,FAP-C1004,El Sobrante Moose Lodge,MPD,4660 APPIAN WAY,EL SOBRANTE,94803,37.9725349,-122.3024917,Phillips 66
766aec45-663f-9b24-0d98-c5f665a866d6,SFP-C1015,El Sobrante - Moose Lodge,SFP,4660 APPIAN WAY,EL SOBRANTE,94803,37.9725349,-122.3024917,Phillips 66
3e58466b-3d6a-a989-07be-6b2e04cf950c,CPP-C1038,Hercules Senior Center,CPP,111 CIVIC DR,HERCULES,94547,38.010323,-122.2664521,Phillips 66
75cf2681-b298-0c6b-5502-13ad84037547,SFP-C1025,Hercules Senior Center,SFP,111 CIVIC DRIVE,HERCULES,94547,38.010323,-122.2664521,Phillips 66
20c2e68c-e5a6-4472-31ae-624c468052b5,CPP-C2003,Boys & Girls Club of Martinez,CPP,1301 ALHAMBRA AVE,MARTINEZ,94553,38.0131305,-122.1344571,Marathon
6d16e9f5-f957-79c8-7cd4-ae610418dd55,CPP-C2031,Martinez Health Center,CPP,2500 ALHAMBRA BLVD,MARTINEZ,94553,38.005595,-122.1314871,Marathon
ef329ca4-fc8f-9a82-8c57-964cb6e61639,CPP-C2033,John Muir Elementary,CPP,205 VISTA WAY,MARTINEZ,94553,38.0002572,-122.1203108,Marathon
c4da0ba1-050e-26c2-868c-3a5c3e35990d,SFP-C2001,Martinez - Teamsters,SFP,2727 ALHAMBRA AVE.,MARTINEZ,94553,38.0047525,-122.130806,Marathon
32ac770f-65cd-f4b6-48a8-b7802739c739,SFP-C2009,Martinez - Berrellesa Palms,SFP,310 BERRELLESA ST.,MARTINEZ,94553,38.0175371,-122.1411002,Marathon
7f734c57-0be8-3dad-139e-21c8d4387322,CPP-C2035,CPP: Pacheco Community Center,CPP,5800 PACHECO BLVD.,PACHECO,94553,37.9849582,-122.0684874,Marathon
0b13b681-7bf7-6558-3a8e-7679e3588514,SCH-C1006,Pinole Valley High School,SCH,2900 PINOLE VALLEY RD.,PINOLE,94564,37.9900702,-122.2862607,Phillips 66
49b0d121-75c1-c0ea-164d-08a411ab846b,SFP-C1024,Pinole Senior Center,SFP,2500 CHARLES AVENUE,PINOLE,94564,38.0073845,-122.2899775,Phillips 66
5c62cc22-ffce-cede-4ddf-97857e700bbf,CPP-C1032,Bayo Vista Center,CPP,2 CALIFORNIA ST,RODEO,94572,38.0391831,-122.2636745,Phillips 66
ae0db9b2-cd33-c35d-3e88-e35624426803,CPP-C1046,Lefty Gomez Rec Center,CPP,470 PARKER AVE.,RODEO,94572,38.0314155,-122.2671109,Phillips 66
29911759-98b2-d299-596a-d10481ae3128,FAP-C1005,Bayo Vista Child Care Center,MPD,2 CALIFORNIA ST.,RODEO,94572,38.0391831,-122.2636745,Phillips 66
c3d7e384-8802-84b0-aba1-c8703118c19f,SFP-C1016,Rodeo - Senior Center,SFP,199 PARKER AVE.,RODEO,94572,38.036156,-122.2675561,Phillips 66
